Vehicle Spy 3 Bus Traffic File
Save Date,7/31/2015
Save Time,3:04:02 pm
Start Date,7/31/2015
Start Time,2:50:38 pm
System Time,1835211
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,125000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
2267,499.309617725,0.01550672500002292,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,03,F7,00,A1,13,3A,38,00,,,
2268,499.317581325,0.00796360000003915,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2269,499.4050774999999,0.08749617499995566,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2270,499.426364275,0.02128677500002141,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2271,499.4690326,0.04266832500002238,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,B0,,,,,,,,,
2272,499.4902532999999,0.02122069999995802,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2273,499.5652663999999,0.07501309999997829,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2274,499.6259824,0.06071600000007038,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2275,499.6369576999999,0.0109752999999273,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,B0,,,,,,,,,
2276,499.639983625,0.003025925000088136,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2277,499.7146967,0.07471307499997693,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2278,499.737302825,0.02260612500003844,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,9E,,,,,,,,,
2279,499.801180725,0.06387789999996585,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2280,499.8265970499999,0.02541632499992374,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2281,499.8366064749999,0.01000942500002111,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,9A,,,,,,,,,
2282,499.8853192,0.04871272500008672,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2283,499.9369689,0.05164969999998448,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,93,,,,,,,,,
2284,499.9592935249999,0.02232462499989652,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2285,500.026197125,0.06690360000004603,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2286,500.0350346499999,0.00883752499998991,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2287,500.0373386499999,0.002303999999980988,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,8D,,,,,,,,,
2288,500.1098098499999,0.07247119999999541,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2289,500.13661565,0.02680580000003374,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,89,,,,,,,,,
2290,500.19628775,0.05967210000005707,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2291,500.225707875,0.02942012500000146,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2292,500.23696905,0.01126117499995871,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,81,,,,,,,,,
2293,500.281508175,0.04453912500002844,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2294,500.3554293,0.07392112499996983,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2295,500.426336625,0.0709073250000074,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2296,500.4302004,0.003863775000013448,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2297,500.5059434,0.07574299999998857,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2298,500.518162575,0.0122191750000411,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,73,,,,,,,,,
2299,500.546364175,0.0282015999999885,389227183603712,F,F,HS CAN $43E,HS CAN,,43E,F,F,07,73,00,00,00,BA,07,01,,,
2300,500.5466362999999,0.0002721249999240172,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,60,6C,2C,3C,12,E4,,,
2301,500.5468743749999,0.0002380749999701948,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,D0,13,45,,,
2302,500.5623611,0.01548672500007342,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,03,F7,00,A1,13,3A,3A,00,,,
2303,500.5933632,0.03100210000002334,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2304,500.6168892249999,0.02352602499991008,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,73,,,,,,,,,
2305,500.62693065,0.01004142500005401,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2306,500.678539375,0.05160872500005098,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2307,500.71722815,0.0386887749999687,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,70,,,,,,,,,
2308,500.7525378749999,0.03530972499993368,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2309,500.8165663999999,0.06402852500002609,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,6E,,,,,,,,,
2310,500.826503775,0.009937375000049542,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2311,500.8272478499999,0.0007440749999432228,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2312,500.901964925,0.07471707500008051,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2313,500.9168738249999,0.01490889999990941,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,69,,,,,,,,,
2314,500.9894410999999,0.07256727499998306,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2315,501.017226825,0.02778572500005794,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,64,,,,,,,,,
2316,501.0260383249999,0.008811499999978878,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2317,501.0746111999999,0.04857287499999074,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2318,501.1165857,0.04197450000003755,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,5E,,,,,,,,,
2319,501.1486656249999,0.03207992499994816,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2320,501.2169296999999,0.06826407500000187,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,5A,,,,,,,,,
2321,501.226695225,0.009765525000034358,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2322,501.22694725,0.0002520250000088708,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2323,501.3010924499999,0.07414519999997538,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2324,501.3855568499999,0.08446440000000166,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2325,501.426262225,0.04070537500001592,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2326,501.469737325,0.0434751000000233,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2327,501.5170634249999,0.04732609999996384,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,41,,,,,,,,,
2328,501.5436636999999,0.02660027499996432,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2329,501.6184168,0.0747531000000663,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2330,501.6258704749999,0.007453674999965187,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2331,501.6941098999999,0.06823942500000157,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2332,501.7350265,0.04091660000005959,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,41,,,,,,,,,
2333,501.739852175,0.004825675000006413,318858439426048,F,F,HS CAN $43E,HS CAN,,43E,F,F,07,41,00,00,00,B2,07,01,,,
2334,501.740112275,0.0002600999999913256,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,60,6C,2C,3C,12,E4,,,
2335,501.7403503749999,0.0002380999999331834,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,D0,13,45,,,
2336,501.7558631749999,0.01551280000001043,351843788259328,F,F,HS CAN $441,HS CAN,,441,F,F,03,F7,00,A1,13,3A,3B,00,,,
2337,501.7810574499999,0.02519427499998983,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2338,501.82649455,0.04543710000007195,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2339,501.834378025,0.00788347499997144,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,34,,,,,,,,,
2340,501.8658221249999,0.03144409999993058,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2341,501.934712225,0.06889010000008966,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,2C,,,,,,,,,
2342,501.93976005,0.005047825000019657,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2343,502.014511125,0.07475107499999467,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2344,502.0260364249999,0.01152529999990293,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2345,502.03507985,0.009043425000072602,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,2B,,,,,,,,,
2346,502.089248225,0.05416837500001748,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2347,502.13438245,0.04513422499996977,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,24,,,,,,,,,
2348,502.1767157749999,0.04233332499995868,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2349,502.2255506,0.0488348250000854,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2350,502.2347199,0.00916929999993954,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,24,,,,,,,,,
2351,502.2619502,0.027230300000042,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2352,502.3368432,0.07489299999997456,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2353,502.411590325,0.07474712500004443,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2354,502.426145425,0.01455509999993865,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2355,502.44195225,0.01580682500002695,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,12,,,,,,,,,
2356,502.48667125,0.04471899999998641,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2357,502.57276755,0.08609630000000834,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2358,502.602359075,0.02959152500000073,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,07,12,,,,,,,,,
2359,502.6257816999999,0.0234226249999665,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2360,502.6569297249999,0.03114802499999314,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2361,502.7026598,0.04573007500005133,284773578964992,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,FD,,,,,,,,,
2362,502.7309180999999,0.02825829999994766,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2363,502.803011825,0.07209372500005884,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,F5,,,,,,,,,
2364,502.8066517,0.0036398749999762,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2365,502.807853775,0.001202075000037439,284773578964992,F,F,HS CAN $43E,HS CAN,,43E,F,F,06,F5,00,00,00,B2,07,01,,,
2366,502.808121875,0.0002680999999711276,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,60,6C,2C,3C,12,E4,,,
2367,502.808360075,0.0002382000000125118,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,00,D0,13,45,,,
2368,502.82381075,0.01545067500001096,387028160348160,F,F,HS CAN $441,HS CAN,,441,F,F,03,F7,00,A1,13,3B,00,00,,,
2369,502.825384825,0.001574075000007724,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2370,502.881365125,0.05598029999998744,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2371,502.90233345,0.02096832500001256,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,EF,,,,,,,,,
2372,502.96784515,0.06551170000000184,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2373,503.002710225,0.0348650749999706,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,EA,,,,,,,,,
2374,503.0259568,0.02324657500003014,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2375,503.0530991749999,0.02714237499992578,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2376,503.103030975,0.04993180000008124,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,DF,,,,,,,,,
2377,503.1270774,0.0240464249999377,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2378,503.2017024749999,0.07462507499997173,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2379,503.202342675,0.0006402000000207408,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,DD,,,,,,,,,
2380,503.225531175,0.02318850000006023,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2381,503.2774338749999,0.05190269999991415,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2382,503.3639501499999,0.08651627500000814,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2383,503.42504405,0.06109390000005988,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2384,503.44915455,0.02411050000000614,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2385,503.49958435,0.05042979999996078,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,CC,,,,,,,,,
2386,503.52313295,0.02354860000002646,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2387,503.5965926499999,0.07345969999994395,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,CC,,,,,,,,,
2388,503.5978887499999,0.001296099999990474,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2389,503.624702925,0.02681417500002681,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2390,503.6726018999999,0.04789897499995277,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2391,503.6969419249999,0.02434002500001498,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,BB,,,,,,,,,
2392,503.760045825,0.06310390000010102,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2393,503.7962848,0.03623897499994655,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,B9,,,,,,,,,
2394,503.8252069,0.02892210000004525,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2395,503.845189725,0.01998282499994275,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2396,503.8829786,0.03778887500004658,354042811514880,F,F,HS CAN $43E,HS CAN,,43E,F,F,06,B9,00,00,00,B2,06,01,,,
2397,503.8832427,0.0002640999999812266,422212532436992,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,60,6C,2C,3C,12,98,,,
2398,503.8834827249999,0.0002400249999254811,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,67,CE,13,45,,,
2399,503.899007525,0.01552480000009382,433207648714752,F,F,HS CAN $441,HS CAN,,441,F,F,03,D6,00,9F,13,3B,00,62,,,
2400,503.9028413499999,0.00383382499990148,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,AE,,,,,,,,,
2401,503.920284175,0.01744282500010286,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2402,503.9959452749999,0.07566109999993387,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2403,504.003072775,0.007127500000024156,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,A5,,,,,,,,,
2404,504.0248094499999,0.02173667499994281,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2405,504.070644475,0.04583502500008763,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2406,504.1024118749999,0.03176739999992151,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,A2,,,,,,,,,
2407,504.156130375,0.05371850000005907,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2408,504.202766475,0.04663610000000062,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,9A,,,,,,,,,
2409,504.224431075,0.02166460000000825,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2410,504.2402901749999,0.01585909999994328,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2411,504.303138775,0.0628486000000521,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,8E,,,,,,,,,
2412,504.314240175,0.01110140000002957,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2413,504.390019175,0.07577900000001137,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2414,504.42501885,0.03499967499999457,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2415,504.46576625,0.04074739999998656,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2416,504.5511906749999,0.08542442499992831,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2417,504.603318225,0.05212755000002289,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,77,,,,,,,,,
2418,504.62458685,0.02126862500006155,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2419,504.6389980499999,0.01441119999992679,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2420,504.6840062499999,0.04500819999998384,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,77,,,,,,,,,
2421,504.713470425,0.02946417500004372,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2422,504.7833304249999,0.06985999999994874,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,75,,,,,,,,,
2423,504.788174175,0.004843750000077307,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2424,504.824145875,0.0359717000000046,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2425,504.8628292999999,0.03868342499993105,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2426,504.8836796749999,0.02085037500000908,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,6C,,,,,,,,,
2427,504.9386062,0.05492652500004169,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2428,504.955092825,0.01648662499997044,354042811514880,F,F,HS CAN $43E,HS CAN,,43E,F,F,06,6C,00,00,00,B2,07,01,,,
2429,504.9553569249999,0.0002640999999812266,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,60,6C,2C,3C,12,98,,,
2430,504.955595025,0.0002381000000468702,334251602214912,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,CC,13,45,,,
2431,504.9710097999999,0.01541477499995381,492581276614656,F,F,HS CAN $441,HS CAN,,441,F,F,03,D6,00,9F,13,3B,02,00,,,
2432,504.9840687999999,0.01305899999999838,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,67,,,,,,,,,
2433,505.0132930249999,0.02922422500000721,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2434,505.024816325,0.01152330000002166,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2435,505.0833633249999,0.05854699999997592,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,5C,,,,,,,,,
2436,505.088087125,0.004723800000078882,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2437,505.1627122,0.07462507499997173,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2438,505.1836986,0.02098639999996976,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,51,,,,,,,,,
2439,505.2243179999999,0.04061939999996866,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2440,505.2387291,0.01441110000007484,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2441,505.2840453,0.04531620000000203,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,46,,,,,,,,,
2442,505.3131574,0.02911210000002029,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2443,505.3879185,0.07476109999993241,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2444,505.4379032999999,0.04998479999994743,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2445,505.4625697,0.02466640000011466,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2446,505.5383527,0.07578300000000127,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2447,505.578249425,0.03989672499994868,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,2B,,,,,,,,,
2448,505.6130772,0.0348277750000534,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2449,505.636851625,0.02377442499994231,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2450,505.668083125,0.03123149999998986,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,2B,,,,,,,,,
2451,505.6877559,0.01967277500000364,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2452,505.762514875,0.07475897500000883,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2453,505.7673807499999,0.004865874999950393,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,29,,,,,,,,,
2454,505.83749215,0.07011140000008709,67371008,F,F,HS CAN $31A,HS CAN,,31A,F,F,C8,00,,,,,,,,,
2455,505.8382422249999,0.0007500749999280742,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,05,04,,,,,,,,,
2456,505.867723725,0.02948150000008809,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,06,1F,,,,,,,,,
